StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q44,Q1,Q2,Q3,Q5,Q6,Q7,Q8,Q10,Q11,Q12,Q13,Q15,Q16,Q18,Q19,Q20,Q22,Q23,Q25,Q27,Q33,Q34,Q35,Q36,Q41,Q43,Q37,Q38
2025-03-11 11:41:06,2025-03-11 12:03:01,0,145.116.182.55,100,1315,1,2025-03-11 12:03:02,R_2hKiZWppfo3e6HN,,,,,51.8323,5.8495,anonymous,EN,A01,1,3,1,2,2,5,2,4,4,3,2,2,3,3,3,3,4,4,2,2,3,4,3,4,3,3,2,2
2025-03-11 11:54:44,2025-03-11 12:05:26,0,145.137.157.145,100,642,1,2025-03-11 12:05:27,R_2azSqvIB4nEkqz7,,,,,51.8385,5.8731,anonymous,EN,d03,2,3,2,4,2,4,3,4,3,3,3,3,3,3,3,3,4,3,3,2,3,2,3,2,2,4,4,4
2025-03-11 12:05:33,2025-03-11 12:17:28,0,145.116.130.15,100,714,1,2025-03-11 12:17:28,R_2JY4B6NT9gVQaNe,,,,,51.8323,5.8495,anonymous,EN,C01,2,1,5,4,1,2,4,4,2,4,3,3,3,3,3,4,4,4,2,3,3,3,3,3,2,2,2,2
2025-03-11 12:07:35,2025-03-11 12:17:47,0,145.137.157.145,100,611,1,2025-03-11 12:17:47,R_8rHZqzvkAWgCzmi,,,,,51.8385,5.8731,anonymous,EN,d04,2,1,5,5,2,5,4,5,3,5,4,2,3,2,3,5,4,3,4,4,3,3,4,4,4,3,2,2
2025-03-11 12:04:00,2025-03-11 12:18:37,0,145.116.161.31,100,876,1,2025-03-11 12:18:38,R_2fcG2B7LEs0vrDE,,,,,51.8385,5.8731,anonymous,EN,L03,1,3,4,2,4,3,4,5,4,4,4,1,3,2,4,3,4,4,4,3,3,4,4,4,2,3,3,4
2025-03-11 12:14:28,2025-03-11 12:22:34,0,145.116.162.125,100,486,1,2025-03-11 12:22:35,R_8HjHCVs4WJiKYFk,,,,,51.8385,5.8731,anonymous,EN,p01,1,2,1,4,3,2,4,5,3,4,4,2,2,2,4,5,1,2,4,1,2,1,4,5,3,3,1,3
2025-03-11 12:06:01,2025-03-11 12:25:10,0,145.116.182.55,100,1149,1,2025-03-11 12:25:11,R_8v8OWbmsEsxwiIH,,,,,51.8323,5.8495,anonymous,EN,A02,1,1,5,5,1,3,4,4,4,2,4,2,3,2,4,3,2,2,2,4,1,2,4,3,3,3,2,4
2025-03-11 12:19:07,2025-03-11 12:26:12,0,145.137.157.145,100,425,1,2025-03-11 12:26:13,R_2AMHMo6M4DNiAGR,,,,,51.8385,5.8731,anonymous,EN,d05,1,1,5,4,2,1,4,4,4,3,4,3,2,1,3,4,4,2,4,4,3,3,4,5,3,3,2,3
2025-03-11 12:28:06,2025-03-11 12:38:58,0,145.137.157.145,100,652,1,2025-03-11 12:38:59,R_8lXN0QrqoQ9OwVf,,,,,51.8385,5.8731,anonymous,EN,d06,2,3,2,4,2,2,4,5,4,3,4,2,4,4,4,5,4,4,4,4,4,4,3,4,2,2,2,2
2025-03-11 14:57:39,2025-03-11 15:10:31,0,145.116.130.15,100,771,1,2025-03-11 15:10:32,R_2RTnqlmvYp3tC1j,,,,,51.8323,5.8495,anonymous,EN,C02,1,1,5,4,2,1,5,5,1,4,5,1,4,1,4,4,2,5,5,3,4,5,5,5,1,1,1,1
2025-03-11 15:01:58,2025-03-11 15:15:03,0,145.137.157.145,100,784,1,2025-03-11 15:15:03,R_8DjsHZyNb3SOPGZ,,,,,51.8385,5.8731,anonymous,EN,d07,1,1,5,4,2,2,4,5,2,4,2,2,2,2,2,3,4,2,4,4,1,4,1,5,1,1,1,2
2025-03-11 15:11:38,2025-03-11 15:21:47,0,145.116.130.15,100,609,1,2025-03-11 15:21:48,R_2soWjFkM1sRwUUP,,,,,51.8323,5.8495,anonymous,EN,C03,2,1,5,2,5,1,5,5,4,5,4,3,5,2,4,5,2,5,4,2,5,5,3,5,1,1,1,1
2025-03-11 15:16:40,2025-03-11 15:26:05,0,145.137.157.145,100,564,1,2025-03-11 15:26:05,R_8GrALIono8D3A0F,,,,,51.8385,5.8731,anonymous,EN,c04,1,2,1,5,2,1,5,5,1,5,5,1,2,1,4,5,5,5,1,5,5,5,5,5,1,3,2,1
2025-03-12 16:09:02,2025-03-12 16:20:38,0,145.116.182.55,100,695,1,2025-03-12 16:20:38,R_2Oxck1bLdYrUefB,,,,,51.8323,5.8495,anonymous,EN,A03,2,1,5,5,2,1,5,5,2,5,4,2,4,4,4,5,4,5,5,3,5,3,5,5,1,1,1,1
2025-03-12 18:12:28,2025-03-12 18:26:11,0,145.116.182.55,100,822,1,2025-03-12 18:26:13,R_84HnYaAfYqbsREM,,,,,51.8323,5.8495,anonymous,EN,A04,2,2,4,4,2,2,4,5,2,2,4,2,3,3,3,4,2,5,5,1,4,4,4,4,3,4,2,2
2025-03-13 17:06:06,2025-03-13 17:17:38,0,145.116.182.55,100,692,1,2025-03-13 17:17:39,R_8b8lF9A4DFH4LzH,,,,,51.8323,5.8495,anonymous,EN,A05,2,1,5,5,1,2,4,5,3,4,4,2,3,1,4,5,4,4,4,4,4,3,5,5,3,3,1,2
2025-04-10 18:44:12,2025-04-10 18:54:33,0,213.124.175.245,100,620,1,2025-04-10 18:54:34,R_2osZZY6vIixbyHE,,,,,51.8206,5.8715,anonymous,EN,C05,1,1,1,5,1,1,5,5,2,4,5,1,3,1,5,4,4,4,4,2,4,4,5,5,3,1,1,1
