StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q44,Q1,Q2,Q3,Q5,Q6,Q7,Q8,Q10,Q11,Q12,Q13,Q15,Q16,Q18,Q19,Q20,Q22,Q23,Q25,Q27,Q33,Q34,Q35,Q36,Q41,Q43,Q37,Q38
2025-03-11 11:24:41,2025-03-11 11:45:39,IP Address,145.116.161.31,100,1257,True,2025-03-11 11:45:40,R_20rDbR3PkHSD117,,,,,51.8385,5.8731,anonymous,EN,l01,Prefer not to say,Never,I don't use voice assistents,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree
2025-03-11 11:41:36,2025-03-11 11:53:02,IP Address,145.137.157.145,100,685,True,2025-03-11 11:53:02,R_8fBMXh8RS4EhR17,,,,,51.8385,5.8731,anonymous,EN,d02,Male,About once a month,I don't know,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree
2025-03-11 11:47:06,2025-03-11 11:58:28,IP Address,145.116.161.31,100,682,True,2025-03-11 11:58:29,R_23lkV2gOsWwevAU,,,,,51.8385,5.8731,anonymous,EN,L02,Male,Never,Non-binary / third gender,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat disagree
2025-03-11 11:41:06,2025-03-11 12:03:01,IP Address,145.116.182.55,100,1315,True,2025-03-11 12:03:02,R_2hKiZWppfo3e6HN,,,,,51.8323,5.8495,anonymous,EN,A01,Male,About once a week,Male,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree
2025-03-11 11:54:44,2025-03-11 12:05:26,IP Address,145.137.157.145,100,642,True,2025-03-11 12:05:27,R_2azSqvIB4nEkqz7,,,,,51.8385,5.8731,anonymous,EN,d03,Female,About once a week,Female,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree
2025-03-11 12:05:33,2025-03-11 12:17:28,IP Address,145.116.130.15,100,714,True,2025-03-11 12:17:28,R_2JY4B6NT9gVQaNe,,,,,51.8323,5.8495,anonymous,EN,C01,Female,Never,I don't use voice assistents,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree
2025-03-11 12:07:35,2025-03-11 12:17:47,IP Address,145.137.157.145,100,611,True,2025-03-11 12:17:47,R_8rHZqzvkAWgCzmi,,,,,51.8385,5.8731,anonymous,EN,d04,Female,Never,I don't use voice assistents,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree
2025-03-11 12:04:00,2025-03-11 12:18:37,IP Address,145.116.161.31,100,876,True,2025-03-11 12:18:38,R_2fcG2B7LEs0vrDE,,,,,51.8385,5.8731,anonymous,EN,L03,Male,About once a week,I don't know,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
2025-03-11 12:14:28,2025-03-11 12:22:34,IP Address,145.116.162.125,100,486,True,2025-03-11 12:22:35,R_8HjHCVs4WJiKYFk,,,,,51.8385,5.8731,anonymous,EN,p01,Male,About once a month,Male,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree
2025-03-11 12:06:01,2025-03-11 12:25:10,IP Address,145.116.182.55,100,1149,True,2025-03-11 12:25:11,R_8v8OWbmsEsxwiIH,,,,,51.8323,5.8495,anonymous,EN,A02,Male,Never,I don't use voice assistents,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree
2025-03-11 12:19:07,2025-03-11 12:26:12,IP Address,145.137.157.145,100,425,True,2025-03-11 12:26:13,R_2AMHMo6M4DNiAGR,,,,,51.8385,5.8731,anonymous,EN,d05,Male,Never,I don't use voice assistents,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree
2025-03-11 12:28:06,2025-03-11 12:38:58,IP Address,145.137.157.145,100,652,True,2025-03-11 12:38:59,R_8lXN0QrqoQ9OwVf,,,,,51.8385,5.8731,anonymous,EN,d06,Female,About once a week,Female,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree
2025-03-11 14:57:39,2025-03-11 15:10:31,IP Address,145.116.130.15,100,771,True,2025-03-11 15:10:32,R_2RTnqlmvYp3tC1j,,,,,51.8323,5.8495,anonymous,EN,C02,Male,Never,I don't use voice assistents,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
2025-03-11 15:01:58,2025-03-11 15:15:03,IP Address,145.137.157.145,100,784,True,2025-03-11 15:15:03,R_8DjsHZyNb3SOPGZ,,,,,51.8385,5.8731,anonymous,EN,d07,Male,Never,I don't use voice assistents,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree
2025-03-11 15:11:38,2025-03-11 15:21:47,IP Address,145.116.130.15,100,609,True,2025-03-11 15:21:48,R_2soWjFkM1sRwUUP,,,,,51.8323,5.8495,anonymous,EN,C03,Female,Never,I don't use voice assistents,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
2025-03-11 15:16:40,2025-03-11 15:26:05,IP Address,145.137.157.145,100,564,True,2025-03-11 15:26:05,R_8GrALIono8D3A0F,,,,,51.8385,5.8731,anonymous,EN,c04,Male,About once a month,Male,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree
2025-03-12 16:09:02,2025-03-12 16:20:38,IP Address,145.116.182.55,100,695,True,2025-03-12 16:20:38,R_2Oxck1bLdYrUefB,,,,,51.8323,5.8495,anonymous,EN,A03,Female,Never,I don't use voice assistents,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
2025-03-12 18:12:28,2025-03-12 18:26:11,IP Address,145.116.182.55,100,822,True,2025-03-12 18:26:13,R_84HnYaAfYqbsREM,,,,,51.8323,5.8495,anonymous,EN,A04,Female,About once a month,I don't know,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree
2025-03-13 17:06:06,2025-03-13 17:17:38,IP Address,145.116.182.55,100,692,True,2025-03-13 17:17:39,R_8b8lF9A4DFH4LzH,,,,,51.8323,5.8495,anonymous,EN,A05,Female,Never,I don't use voice assistents,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree
2025-04-10 18:44:12,2025-04-10 18:54:33,IP Address,213.124.175.245,100,620,True,2025-04-10 18:54:34,R_2osZZY6vIixbyHE,,,,,51.8206,5.8715,anonymous,EN,C05,Male,Never,Male,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree
